City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
659,Sao Raimundo Das Mangabeiras,BR,80.37,overcast clouds,-7.0219,-45.4811,Hotel Tropical
664,Kiunga,PG,72.39,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
665,Ahuimanu,US,80.2,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
666,Puerto Colombia,CO,87.89,few clouds,10.9878,-74.9547,Hotel El Emigrante
667,Harindanga,IN,71.58,clear sky,22.0383,88.3214,Hazi Home
669,Camopi,GF,75.02,overcast clouds,3.1655,-52.3158,La pousada
672,Trinidad,BO,80.58,thunderstorm with light rain,-14.8333,-64.9,Hotel Piesta
674,Cockburn Town,TC,80.56,clear sky,21.4612,-71.1419,Osprey Beach Hotel
678,Harper,LR,80.08,broken clouds,4.375,-7.7169,Screensaver
680,Isla Aguada,MX,77.34,few clouds,18.7833,-91.4667,Freedom Shores
684,Broken Hill,AU,73.11,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
686,Borda Da Mata,BR,74.07,few clouds,-22.2742,-46.1653,Hotel Village
688,Acapulco,MX,85.32,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
689,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
690,Teshie,GH,82.96,clear sky,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
698,Manta,EC,83.98,broken clouds,-0.95,-80.7333,Balandra Hotel
701,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
703,Panguna,PG,72.12,overcast clouds,-6.3164,155.4848,
704,Chickasha,US,80.8,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
709,Rio Tuba,PH,80.71,overcast clouds,8.5061,117.4317,Jjas Pension House
712,Cabrobo,BR,85.46,light rain,-8.5142,-39.31,Hotel Limarques
718,Monte Alegre,BR,85.35,broken clouds,-2.0078,-54.0692,Hotel Shekinah
719,Itaituba,BR,89.76,few clouds,-4.2761,-55.9836,Hotel Campos
725,Victor Harbor,AU,76.46,light rain,-35.5667,138.6167,McCracken Country Club
