City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,San Ramon,US,2022-02-28 22:00:27,37.7799,-121.978,72.81,34,30,3.49
120,Abu Kamal,SY,2022-02-28 22:03:17,34.4506,40.9171,60.73,42,50,9.78
121,Airai,TL,2022-02-28 22:03:18,-8.9266,125.4092,60.82,85,77,2.13
122,Nichinan,JP,2022-02-28 22:03:18,31.6,131.3667,48.76,66,46,6.02
123,Kenai,US,2022-02-28 22:03:18,60.5544,-151.2583,34.03,78,100,5.06
124,Kavieng,PG,2022-02-28 22:03:19,-2.5744,150.7967,81.97,77,100,8.84
125,Khatanga,RU,2022-02-28 22:03:19,71.9667,102.5,-9.0,99,97,4.36
126,Lorengau,PG,2022-02-28 22:03:20,-2.0226,147.2712,79.92,82,100,5.39
127,Nikolskoye,RU,2022-02-28 22:03:20,59.7035,30.7861,20.93,97,8,4.05
128,Qaanaaq,GL,2022-02-28 22:03:20,77.484,-69.3632,0.43,42,19,8.25
129,Sabha,LY,2022-02-28 22:03:21,27.0377,14.4283,68.54,17,71,9.8
130,Marsabit,KE,2022-02-28 22:03:21,2.3284,37.9899,72.36,43,26,9.71
131,Smithers,CA,2022-02-28 22:03:22,54.7804,-127.1743,35.92,87,100,3.44
132,Susanino,RU,2022-02-28 22:03:22,58.1461,41.5872,14.52,97,47,4.47
133,Avera,US,2022-02-28 22:03:23,33.194,-82.5271,60.3,34,35,6.46
134,Rocha,UY,2022-02-28 22:01:26,-34.4833,-54.3333,71.82,55,66,8.12
135,Derzhavinsk,KZ,2022-02-28 22:03:23,51.1,66.3167,0.27,99,83,5.61
136,Walvis Bay,NA,2022-02-28 22:03:24,-22.9575,14.5053,67.51,74,0,13.04
137,Charyshskoye,RU,2022-02-28 22:03:24,51.3978,83.5598,14.07,88,100,3.56
138,Castro,BR,2022-02-28 22:03:25,-24.7911,-50.0119,73.6,74,55,3.22
139,San Quintin,MX,2022-02-28 21:53:44,30.4833,-115.95,67.21,36,100,6.51
140,Pangnirtung,CA,2022-02-28 22:03:26,66.1451,-65.7125,-8.7,85,100,3.06
141,Vila Velha,BR,2022-02-28 21:53:13,-20.3297,-40.2925,79.14,74,0,10.63
142,Forio,IT,2022-02-28 22:03:27,40.7342,13.8646,48.7,65,97,14.99
143,Port Lincoln,AU,2022-02-28 22:04:27,-34.7333,135.8667,65.35,79,100,11.5
144,Bubaque,GW,2022-02-28 22:04:28,11.2833,-15.8333,76.6,71,13,23.35
145,Mahebourg,MU,2022-02-28 22:04:28,-20.4081,57.7,79.12,85,92,5.5
146,Damavand,IR,2022-02-28 22:04:28,35.7178,52.065,35.1,70,50,2.42
147,La Colorada,PA,2022-02-28 22:04:29,8.0167,-80.9833,88.45,35,83,14.94
148,Ferrol,ES,2022-02-28 22:03:00,43.4832,-8.2369,56.26,81,100,6.82
149,Arauca,CO,2022-02-28 22:00:29,7.0847,-70.7591,87.33,46,94,2.33
150,Zhigansk,RU,2022-02-28 22:04:29,66.7697,123.3711,-27.81,100,99,3.94
151,Minot,US,2022-02-28 22:00:00,48.2325,-101.2963,34.34,92,100,4.03
152,Carnarvon,AU,2022-02-28 22:04:30,-24.8667,113.6333,75.51,68,0,17.11
153,Batemans Bay,AU,2022-02-28 22:04:30,-35.7167,150.1833,70.09,89,100,4.79
154,Tura,IN,2022-02-28 22:04:31,25.5198,90.2201,60.12,33,0,2.95
155,Mandali,IQ,2022-02-28 22:04:31,33.7499,45.5541,59.83,47,6,6.98
156,Sao Filipe,CV,2022-02-28 22:04:31,14.8961,-24.4956,70.45,66,0,15.66
157,Clyde River,CA,2022-02-28 22:04:32,70.4692,-68.5914,-3.77,77,100,21.85
158,Bonavista,CA,2022-02-28 22:04:32,48.6499,-53.1147,25.84,68,47,8.9
159,Asau,RO,2022-02-28 22:04:32,46.4333,26.4,34.95,65,100,12.24
160,Angoche,MZ,2022-02-28 22:04:33,-16.2325,39.9086,75.7,91,82,7.9
161,Kaitangata,NZ,2022-02-28 22:04:33,-46.2817,169.8464,60.71,72,100,4.36
162,Alofi,NU,2022-02-28 22:04:34,-19.0595,-169.9187,79.92,79,100,8.93
163,Mayo,US,2022-02-28 22:04:34,38.8876,-76.5119,39.07,43,50,8.03
164,Cervo,ES,2022-02-28 22:04:34,43.6702,-7.4101,54.41,79,100,5.08
165,Najran,SA,2022-02-28 22:04:35,17.4924,44.1277,64.06,43,12,2.04
166,Nouadhibou,MR,2022-02-28 22:04:35,20.931,-17.0347,63.72,78,0,27.13
167,Tasiilaq,GL,2022-02-28 22:04:35,65.6145,-37.6368,21.36,61,100,5.32
168,Bredasdorp,ZA,2022-02-28 22:04:36,-34.5322,20.0403,64.27,89,97,3.71
169,Ust-Ilimsk,RU,2022-02-28 22:04:36,58.0006,102.6619,17.06,87,100,13.29
170,Harnosand,SE,2022-02-28 22:04:37,62.6323,17.9379,34.07,79,51,14.94
171,Baoding,CN,2022-02-28 22:04:37,38.8511,115.4903,35.19,41,0,3.49
172,Camacha,PT,2022-02-28 22:04:37,33.0833,-16.3333,59.76,72,40,11.5
173,Kaeo,NZ,2022-02-28 22:04:38,-35.1,173.7833,72.32,76,83,6.67
174,Provideniya,RU,2022-02-28 22:04:38,64.3833,-173.3,24.04,94,99,5.35
175,Mezen,RU,2022-02-28 22:04:38,65.8522,44.24,23.02,96,94,5.86
176,Sarangani,PH,2022-02-28 22:04:39,5.4033,125.4636,80.37,81,99,20.09
177,Esmeralda,CU,2022-02-28 22:04:39,21.8525,-78.1169,81.66,56,46,10.96
178,Shima,CN,2022-02-28 22:04:40,24.4478,117.8111,60.62,90,69,2.91
179,Hambantota,LK,2022-02-28 22:04:40,6.1241,81.1185,71.94,100,20,4.61
180,Requena,ES,2022-02-28 22:04:41,39.4883,-1.1004,43.77,74,4,2.26
181,Gamboma,CG,2022-02-28 22:04:41,-1.8764,15.8644,73.76,92,100,4.65
182,Shalya,RU,2022-02-28 22:04:41,57.2471,58.7298,21.49,94,88,11.65
183,Kaya,BF,2022-02-28 22:04:42,13.0917,-1.0844,88.48,14,29,6.29
